order_id,order_date,state,zone,category,brand_type,customer_gender,customer_age,base_price,discount_percent,final_price,units_sold,revenue,sales_event,competition_intensity,inventory_pressure,Age_Group,Discount_Category,Profit
ORD0000046,2023-01-31,Odisha,East,Sports & Fitness,Mass,Male,63,6440.97,19.97,5154.71,21,108248.91,Normal,Low,Low,,Medium Discount,103094.2
ORD0000047,2023-01-31,Kerala,South,Footwear,Mass,Female,20,2151.3,26.76,1575.61,17,26785.37,Normal,Medium,Low,18-25,High Discount,25209.76
ORD0000048,2023-01-31,Haryana,North,Beauty & Personal Care,Mass,Male,41,1423.64,32.96,954.41,12,11452.92,Normal,Medium,Low,36-45,High Discount,10498.51
ORD0000049,2023-01-31,Maharashtra,West,Home & Living,Mass,Female,34,4400.67,24.82,3308.42,34,112486.28,Normal,Medium,Low,26-35,High Discount,109177.86
ORD0000050,2023-01-31,Uttar Pradesh,North,Beauty & Personal Care,Mass,Female,34,670.24,27.03,489.07,15,7336.05,Normal,High,Low,26-35,High Discount,6846.9800000000005
ORD0000051,2023-01-31,Telangana,South,Grocery Essentials,Premium,Male,18,382.69,25.27,285.98,76,21734.48,Festival,Medium,High,18-25,High Discount,21448.5
ORD0000052,2023-01-31,Uttar Pradesh,North,Sports & Fitness,Premium,Female,41,2481.26,24.37,1876.58,6,11259.48,Normal,Low,Low,36-45,High Discount,9382.9
ORD0000053,2023-01-31,Madhya Pradesh,Central,Fashion,Premium,Female,24,1553.07,17.97,1273.98,30,38219.4,Normal,Low,High,18-25,Medium Discount,36945.42
ORD0000054,2023-01-31,Uttar Pradesh,North,Beauty & Personal Care,Premium,Female,43,886.92,54.18,406.39,67,27228.13,Festival,High,Low,36-45,High Discount,26821.74
ORD0000055,2023-01-31,Odisha,East,Sports & Fitness,Premium,Female,27,1198.3,30.08,837.85,4,3351.4,Normal,High,High,26-35,High Discount,2513.55
ORD0000056,2023-01-31,Telangana,South,Premium Lifestyle,Mass,Female,26,6635.18,25.97,4912.02,25,122800.5,Normal,Medium,High,26-35,High Discount,117888.48
ORD0000057,2023-01-31,Gujarat,West,Beauty & Personal Care,Mass,Male,27,1285.12,40.41,765.8,14,10721.2,Normal,Medium,Low,26-35,High Discount,9955.400000000001
ORD0000058,2023-01-31,Delhi NCR,North,Electronics,Mass,Male,34,3727.68,45.33,2037.92,86,175261.12,Festival,High,Low,26-35,High Discount,173223.19999999998
ORD0000059,2023-01-31,Maharashtra,West,Footwear,Mass,Male,31,3804.15,25.23,2844.36,44,125151.84,Normal,Low,Low,26-35,High Discount,122307.48
ORD0000060,2023-01-31,Delhi NCR,North,Footwear,Mass,Female,47,4927.06,46.94,2614.3,70,183001.0,Festival,High,Low,46-60,High Discount,180386.7
ORD0000061,2023-01-31,Delhi NCR,North,Electronics,Mass,Male,32,10185.11,18.29,8322.25,15,124833.75,Normal,Medium,Low,26-35,Medium Discount,116511.5
ORD0000062,2023-01-31,Kerala,South,Footwear,Premium,Female,31,3661.58,53.04,1719.48,24,41267.52,Festival,Medium,High,26-35,High Discount,39548.03999999999
ORD0000063,2023-01-31,Maharashtra,West,Footwear,Mass,Male,23,672.99,53.17,315.16,117,36873.72,Festival,High,Low,18-25,High Discount,36558.56
ORD0000064,2023-01-31,Maharashtra,West,Beauty & Personal Care,Mass,Male,26,1067.07,10.29,957.27,17,16273.59,Normal,Low,Low,26-35,Medium Discount,15316.32
ORD0000065,2023-01-31,Punjab,North,Fashion,Premium,Male,20,2918.28,23.54,2231.32,42,93715.44,Normal,High,Low,18-25,High Discount,91484.12
ORD0000066,2023-01-31,Delhi NCR,North,Sports & Fitness,Premium,Male,22,6026.26,41.65,3516.32,65,228560.8,Normal,High,High,18-25,High Discount,225044.47999999998
ORD0000067,2023-01-31,Punjab,North,Fashion,Premium,Female,35,3736.43,35.71,2402.15,9,21619.35,Normal,Medium,Low,26-35,High Discount,19217.199999999997
ORD0000068,2023-01-31,West Bengal,East,Footwear,Mass,Male,32,1605.62,27.62,1162.15,26,30215.9,Normal,Medium,High,26-35,High Discount,29053.75
ORD0000069,2023-01-31,Uttar Pradesh,North,Beauty & Personal Care,Mass,Female,39,1521.44,44.13,850.03,6,5100.18,Normal,High,Low,36-45,High Discount,4250.150000000001
ORD0000070,2023-01-31,Kerala,South,Grocery Essentials,Premium,Male,21,797.38,48.79,408.34,33,13475.22,Festival,Medium,Low,18-25,High Discount,13066.88
ORD0000071,2023-01-31,Kerala,South,Electronics,Mass,Male,32,11103.76,39.82,6682.24,24,160373.76,Normal,Low,Low,26-35,High Discount,153691.52000000002
ORD0000072,2023-01-31,Punjab,North,Home & Living,Mass,Male,28,2250.13,48.52,1158.37,44,50968.28,Normal,Medium,Low,26-35,High Discount,49809.909999999996
ORD0000073,2023-01-31,Tamil Nadu,South,Premium Lifestyle,Mass,Male,25,13868.21,58.79,5715.09,8,45720.72,Normal,Medium,Low,18-25,High Discount,40005.630000000005
ORD0000074,2023-01-31,West Bengal,East,Footwear,Mass,Female,31,3424.94,14.63,2923.87,11,32162.57,Normal,Medium,Low,26-35,Medium Discount,29238.7
ORD0000075,2023-01-31,Tamil Nadu,South,Fashion,Mass,Male,33,3248.69,46.79,1728.63,12,20743.56,Normal,Medium,Low,26-35,High Discount,19014.93
ORD0000076,2023-01-31,Punjab,North,Home & Living,Premium,Male,49,2735.87,45.9,1480.11,40,59204.4,Normal,Medium,High,46-60,High Discount,57724.29
ORD0000077,2023-01-31,Karnataka,South,Home & Living,Mass,Male,20,1636.2,45.18,896.96,76,68168.96,Normal,High,Low,18-25,High Discount,67272.0
ORD0000078,2023-01-31,Maharashtra,West,Home & Living,Mass,Male,27,3131.81,65.0,1096.13,19,20826.47,Normal,High,Low,26-35,High Discount,19730.34
ORD0000079,2023-01-31,Gujarat,West,Sports & Fitness,Mass,Male,35,5273.08,23.05,4057.64,38,154190.32,Normal,Medium,Low,26-35,High Discount,150132.68
ORD0000080,2023-01-31,Tamil Nadu,South,Fashion,Mass,Male,34,1125.88,48.16,583.66,41,23930.06,Festival,Medium,High,26-35,High Discount,23346.4
ORD0000081,2023-01-31,Telangana,South,Sports & Fitness,Mass,Male,44,6095.34,51.17,2976.35,10,29763.5,Festival,Low,Low,36-45,High Discount,26787.15
ORD0000082,2023-01-31,West Bengal,East,Fashion,Mass,Male,18,2398.89,37.98,1487.79,48,71413.92,Normal,Medium,Low,18-25,High Discount,69926.13
ORD0000083,2023-01-31,Telangana,South,Electronics,Mass,Male,42,5386.82,36.42,3424.94,15,51374.1,Normal,High,High,36-45,High Discount,47949.159999999996
ORD0000084,2023-01-31,West Bengal,East,Grocery Essentials,Mass,Female,27,785.23,41.77,457.24,28,12802.72,Festival,Low,Low,26-35,High Discount,12345.48
ORD0000085,2023-01-31,Telangana,South,Home & Living,Mass,Female,29,4081.92,63.71,1481.33,13,19257.29,Festival,Medium,Low,26-35,High Discount,17775.96
ORD0000086,2023-01-31,Gujarat,West,Electronics,Premium,Female,44,8192.13,17.24,6779.81,10,67798.1,Normal,Low,Low,36-45,Medium Discount,61018.29000000001
ORD0000087,2023-01-31,Chhattisgarh,Central,Electronics,Premium,Male,39,5071.67,27.47,3678.48,12,44141.76,Festival,Low,Low,36-45,High Discount,40463.28
ORD0000088,2023-01-31,Uttar Pradesh,North,Home & Living,Mass,Male,42,926.44,45.5,504.91,30,15147.3,Normal,Medium,Low,36-45,High Discount,14642.39
ORD0000089,2023-01-31,Gujarat,West,Beauty & Personal Care,Mass,Female,39,2488.01,45.85,1347.26,58,78141.08,Festival,Medium,Low,36-45,High Discount,76793.82
ORD0000090,2023-01-31,Kerala,South,Home & Living,Mass,Male,61,5557.29,30.36,3870.1,17,65791.7,Normal,Medium,Low,,High Discount,61921.6
ORD0000091,2023-01-31,Tamil Nadu,South,Footwear,Mass,Male,32,4793.52,36.19,3058.75,35,107056.25,Normal,Medium,High,26-35,High Discount,103997.5
ORD0000092,2023-01-31,Uttar Pradesh,North,Premium Lifestyle,Mass,Male,64,14633.2,63.0,5414.28,5,27071.4,Normal,Medium,Low,,High Discount,21657.120000000003
ORD0000093,2023-01-31,Delhi NCR,North,Fashion,Mass,Female,46,763.71,36.81,482.59,10,4825.9,Festival,Medium,Low,46-60,High Discount,4343.3099999999995
ORD0000094,2023-01-31,Odisha,East,Home & Living,Mass,Female,32,2447.99,19.32,1975.04,14,27650.56,Normal,Medium,Low,26-35,Medium Discount,25675.52
ORD0000095,2023-01-31,Punjab,North,Beauty & Personal Care,Premium,Female,31,2359.54,47.36,1242.06,38,47198.28,Festival,Medium,High,26-35,High Discount,45956.22
ORD0000096,2023-01-31,Telangana,South,Home & Living,Premium,Male,42,1166.16,12.31,1022.61,22,22497.42,Normal,Medium,Low,36-45,Medium Discount,21474.809999999998
ORD0000097,2023-01-31,Madhya Pradesh,Central,Sports & Fitness,Mass,Male,28,6940.32,20.7,5503.67,16,88058.72,Normal,Low,High,26-35,High Discount,82555.05
ORD0000098,2023-01-31,Maharashtra,West,Footwear,Mass,Female,41,4460.44,65.0,1561.15,14,21856.1,Festival,High,Low,36-45,High Discount,20294.949999999997
ORD0000099,2023-01-31,Karnataka,South,Premium Lifestyle,Premium,Female,22,5502.83,44.81,3037.01,45,136665.45,Festival,High,Low,18-25,High Discount,133628.44
ORD0000100,2023-01-31,Haryana,North,Premium Lifestyle,Mass,Male,24,7229.51,59.51,2927.23,15,43908.45,Normal,High,Low,18-25,High Discount,40981.219999999994
ORD0000101,2023-01-31,Punjab,North,Sports & Fitness,Mass,Female,53,2537.24,61.63,973.54,34,33100.36,Festival,Medium,High,46-60,High Discount,32126.82
ORD0000102,2023-01-31,Uttar Pradesh,North,Electronics,Mass,Female,23,7513.65,63.91,2711.68,12,32540.16,Festival,Medium,Low,18-25,High Discount,29828.48
ORD0000103,2023-01-31,Gujarat,West,Fashion,Mass,Male,35,748.29,26.82,547.6,28,15332.8,Normal,Low,Low,26-35,High Discount,14785.199999999999
ORD0000104,2023-01-31,Delhi NCR,North,Beauty & Personal Care,Mass,Male,27,2258.01,28.59,1612.44,9,14511.96,Normal,Medium,Low,26-35,High Discount,12899.519999999999
ORD0000105,2023-01-31,West Bengal,East,Grocery Essentials,Mass,Female,38,165.79,41.81,96.47,38,3665.86,Normal,Medium,Low,36-45,High Discount,3569.3900000000003
ORD0000106,2023-01-31,Madhya Pradesh,Central,Premium Lifestyle,Premium,Male,37,7609.68,10.43,6815.99,24,163583.76,Normal,Medium,Low,36-45,Medium Discount,156767.77000000002
ORD0000107,2023-01-31,West Bengal,East,Sports & Fitness,Mass,Male,29,4545.0,26.68,3332.39,51,169951.89,Festival,High,Low,26-35,High Discount,166619.5
ORD0000108,2023-01-31,Delhi NCR,North,Footwear,Mass,Male,59,770.87,36.68,488.11,42,20500.62,Festival,Medium,Low,46-60,High Discount,20012.51
ORD0000109,2023-01-31,Punjab,North,Electronics,Premium,Male,39,4143.54,23.28,3178.92,36,114441.12,Normal,Medium,Low,36-45,High Discount,111262.2
ORD0000110,2023-01-31,Punjab,North,Home & Living,Mass,Male,37,2212.02,65.0,774.21,37,28645.77,Festival,Medium,Low,36-45,High Discount,27871.56
ORD0000111,2023-01-31,Uttar Pradesh,North,Electronics,Mass,Female,36,3768.13,12.84,3284.3,21,68970.3,Normal,Medium,Low,36-45,Medium Discount,65686.0
ORD0000112,2023-01-31,Madhya Pradesh,Central,Footwear,Mass,Female,57,2409.96,65.0,843.49,30,25304.7,Festival,High,High,46-60,High Discount,24461.21
ORD0000113,2023-01-31,Telangana,South,Footwear,Premium,Male,26,3794.8,44.15,2119.4,44,93253.6,Festival,Low,Low,26-35,High Discount,91134.20000000001
ORD0000114,2023-01-31,West Bengal,East,Sports & Fitness,Premium,Male,50,2937.74,37.83,1826.39,48,87666.72,Festival,Low,Low,46-60,High Discount,85840.33
ORD0000115,2023-01-31,Uttar Pradesh,North,Footwear,Mass,Female,44,2531.47,29.32,1789.24,14,25049.36,Festival,High,Low,36-45,High Discount,23260.12
ORD0000116,2023-01-31,Tamil Nadu,South,Premium Lifestyle,Mass,Female,53,6027.67,19.45,4855.29,26,126237.54,Festival,Low,Low,46-60,Medium Discount,121382.25
ORD0000117,2023-01-31,Chhattisgarh,Central,Premium Lifestyle,Premium,Male,31,11573.5,12.04,10180.05,3,30540.15,Normal,High,Low,26-35,Medium Discount,20360.100000000002
ORD0000118,2023-01-31,Uttar Pradesh,North,Fashion,Mass,Female,47,2048.23,31.19,1409.39,30,42281.7,Normal,Medium,High,46-60,High Discount,40872.31
ORD0000119,2023-01-31,Haryana,North,Sports & Fitness,Mass,Male,41,5287.58,64.31,1887.14,90,169842.6,Festival,Medium,High,36-45,High Discount,167955.46
ORD0000120,2023-01-31,Telangana,South,Electronics,Mass,Male,21,8744.44,43.42,4947.6,31,153375.6,Festival,Low,Low,18-25,High Discount,148428.0
ORD0000121,2023-01-31,Haryana,North,Footwear,Mass,Female,26,3291.57,28.08,2367.3,25,59182.5,Normal,Low,Low,26-35,High Discount,56815.2
ORD0000122,2023-01-31,Maharashtra,West,Electronics,Premium,Male,19,8094.33,15.55,6835.66,49,334947.34,Normal,High,Low,18-25,Medium Discount,328111.68000000005
ORD0000123,2023-01-31,Tamil Nadu,South,Grocery Essentials,Mass,Male,22,110.08,29.38,77.74,17,1321.58,Normal,High,High,18-25,High Discount,1243.84
ORD0000124,2023-01-31,Haryana,North,Home & Living,Premium,Male,24,1289.62,23.9,981.4,44,43181.6,Normal,Medium,High,18-25,High Discount,42200.2
ORD0000125,2023-01-31,Punjab,North,Footwear,Mass,Female,27,1371.45,10.94,1221.41,25,30535.25,Normal,Medium,Low,26-35,Medium Discount,29313.84
ORD0000126,2023-01-31,Madhya Pradesh,Central,Footwear,Mass,Male,22,4150.42,42.05,2405.17,25,60129.25,Festival,Low,High,18-25,High Discount,57724.08
ORD0000127,2023-01-31,Chhattisgarh,Central,Home & Living,Mass,Female,55,2872.22,53.87,1324.96,17,22524.32,Festival,Medium,Low,46-60,High Discount,21199.36
ORD0000128,2023-01-31,Odisha,East,Premium Lifestyle,Mass,Male,22,13753.48,19.35,11092.18,17,188567.06,Normal,Low,Low,18-25,Medium Discount,177474.88
ORD0000129,2023-01-31,Haryana,North,Footwear,Mass,Female,39,3353.78,45.67,1822.11,6,10932.66,Normal,Medium,High,36-45,High Discount,9110.55
ORD0000130,2023-01-31,Gujarat,West,Grocery Essentials,Mass,Female,51,477.56,65.0,167.15,75,12536.25,Festival,Medium,High,46-60,High Discount,12369.1
ORD0000131,2023-01-31,Kerala,South,Sports & Fitness,Mass,Female,27,1423.41,50.33,707.01,47,33229.47,Normal,High,Low,26-35,High Discount,32522.460000000003
ORD0000132,2023-01-31,Gujarat,West,Footwear,Premium,Female,44,4415.68,35.27,2858.27,43,122905.61,Normal,Medium,High,36-45,High Discount,120047.34
ORD0000133,2023-01-31,Madhya Pradesh,Central,Sports & Fitness,Premium,Female,39,4452.85,18.59,3625.07,3,10875.21,Normal,Medium,Low,36-45,Medium Discount,7250.139999999999
ORD0000134,2023-01-31,West Bengal,East,Premium Lifestyle,Mass,Female,24,9040.78,35.01,5875.6,13,76382.8,Normal,Low,Low,18-25,High Discount,70507.2
ORD0000135,2023-01-31,Delhi NCR,North,Electronics,Mass,Male,39,8633.46,55.12,3874.7,28,108491.6,Normal,Medium,Low,36-45,High Discount,104616.90000000001
ORD0000136,2023-01-31,Kerala,South,Footwear,Mass,Female,54,4583.54,28.77,3264.86,24,78356.64,Normal,Medium,High,46-60,High Discount,75091.78
ORD0000137,2023-01-31,Gujarat,West,Grocery Essentials,Mass,Female,27,250.21,38.75,153.25,48,7356.0,Normal,Medium,High,26-35,High Discount,7202.75
ORD0000138,2023-01-31,Punjab,North,Fashion,Premium,Male,24,2663.89,11.78,2350.08,17,39951.36,Normal,Low,Low,18-25,Medium Discount,37601.28
ORD0000139,2023-01-31,Uttar Pradesh,North,Premium Lifestyle,Mass,Male,22,8239.36,42.49,4738.46,8,37907.68,Normal,Low,Low,18-25,High Discount,33169.22
ORD0000140,2023-01-31,Punjab,North,Premium Lifestyle,Mass,Female,28,6867.64,42.28,3964.0,84,332976.0,Festival,Low,Low,26-35,High Discount,329012.0
ORD0000141,2023-01-31,Tamil Nadu,South,Beauty & Personal Care,Premium,Male,26,1066.34,37.78,663.48,13,8625.24,Normal,Medium,Low,26-35,High Discount,7961.76
ORD0000142,2023-01-31,Haryana,North,Grocery Essentials,Mass,Male,50,392.56,63.22,144.38,13,1876.94,Normal,Medium,Low,46-60,High Discount,1732.56
ORD0000143,2023-01-31,Uttar Pradesh,North,Fashion,Premium,Female,44,1121.04,31.27,770.49,6,4622.94,Normal,Medium,Low,36-45,High Discount,3852.45
ORD0000144,2023-01-31,Maharashtra,West,Footwear,Mass,Female,62,4958.22,37.69,3089.47,38,117399.86,Normal,High,Low,,High Discount,114310.39
ORD0000145,2023-01-31,Punjab,North,Sports & Fitness,Mass,Female,29,2500.1,46.93,1326.8,16,21228.8,Normal,High,Low,26-35,High Discount,19902.0
ORD0000146,2023-01-31,West Bengal,East,Fashion,Mass,Female,24,1335.09,52.39,635.64,12,7627.68,Normal,High,Low,18-25,High Discount,6992.04
ORD0000147,2023-01-31,Karnataka,South,Grocery Essentials,Mass,Male,27,172.19,65.0,60.27,115,6931.05,Festival,Medium,Low,26-35,High Discount,6870.78
ORD0000148,2023-01-31,Madhya Pradesh,Central,Premium Lifestyle,Mass,Female,44,13091.03,32.6,8823.35,31,273523.85,Normal,High,Low,36-45,High Discount,264700.5
ORD0000149,2023-01-31,Punjab,North,Footwear,Premium,Female,37,2312.49,5.38,2188.08,12,26256.96,Normal,Medium,Low,36-45,Low Discount,24068.879999999997
ORD0000150,2023-01-31,Telangana,South,Electronics,Mass,Female,21,10624.29,29.52,7488.0,37,277056.0,Normal,Medium,Low,18-25,High Discount,269568.0
ORD0000151,2023-01-31,West Bengal,East,Fashion,Mass,Male,32,2868.69,41.54,1677.04,30,50311.2,Normal,High,Low,26-35,High Discount,48634.159999999996
ORD0000152,2023-01-31,Kerala,South,Premium Lifestyle,Mass,Male,62,4916.13,38.04,3046.03,38,115749.14,Festival,High,High,,High Discount,112703.11
ORD0000153,2023-01-31,Gujarat,West,Beauty & Personal Care,Mass,Male,42,1023.06,51.99,491.17,14,6876.38,Normal,High,Low,36-45,High Discount,6385.21
ORD0000154,2023-01-31,Madhya Pradesh,Central,Footwear,Mass,Female,23,4763.26,47.97,2478.32,21,52044.72,Normal,Low,Low,18-25,High Discount,49566.4
ORD0000155,2023-01-31,Telangana,South,Home & Living,Mass,Male,44,1274.27,37.19,800.37,17,13606.29,Normal,Medium,Low,36-45,High Discount,12805.92
ORD0000156,2023-01-31,Kerala,South,Home & Living,Premium,Male,41,5978.84,11.96,5263.77,6,31582.62,Normal,High,Low,36-45,Medium Discount,26318.85
ORD0000157,2023-01-31,Delhi NCR,North,Footwear,Premium,Male,43,4505.9,17.28,3727.28,34,126727.52,Normal,Medium,Low,36-45,Medium Discount,123000.24
ORD0000158,2023-01-31,Kerala,South,Home & Living,Mass,Female,24,5836.99,52.84,2752.72,43,118366.96,Normal,High,Low,18-25,High Discount,115614.24
ORD0000159,2023-01-31,Telangana,South,Fashion,Mass,Male,33,3534.04,61.12,1374.03,44,60457.32,Normal,High,Low,26-35,High Discount,59083.29
ORD0000160,2023-01-31,Punjab,North,Sports & Fitness,Mass,Male,23,5205.81,9.0,4737.29,32,151593.28,Normal,Low,Low,18-25,Low Discount,146855.99
ORD0000161,2023-01-31,Odisha,East,Grocery Essentials,Premium,Male,42,724.33,18.13,593.01,7,4151.07,Normal,Medium,High,36-45,Medium Discount,3558.0599999999995
ORD0000162,2023-01-31,Uttar Pradesh,North,Grocery Essentials,Mass,Female,62,263.26,56.97,113.28,38,4304.64,Festival,High,Low,,High Discount,4191.360000000001
ORD0000163,2023-01-31,Delhi NCR,North,Beauty & Personal Care,Premium,Female,47,1115.41,33.45,742.31,18,13361.58,Normal,Medium,Low,46-60,High Discount,12619.27
